submitter,receiver,amount
National Energy Board,TransCanada PipeLines Limited,25
National Energy Board,TransGas Limited,1
National Energy Board,Tundra Energy Marketing Limited,1
National Energy Board,"Twin Eagle Resource Management, LLC",1
National Energy Board,Veresen NGL Pipeline Inc.,1
National Energy Board,Westcoast Energy Inc.,17
National Energy Board,"Williams Energy Marketing & Trading Canada, Inc.",1
National Energy Board,Woodside Energy Holdings Pty Ltd.,2
New Brunswick Energy Marketing Corporation,New Brunswick Power Generation Corporation,1
New Brunswick Power Corporation,New Brunswick System Operator,1
Nideva Properties Inc.,Union Gas Limited,1
Northland Power Energy Marketing (US) Inc.,Hydro-Quebec,1
Pacific Traverse Energy,Pacific Traverse Energy Ltd.,1
Panel-Commission,British Columbia Hydro and Power Authority,1
Papaschase Cree Nation,Westcoast Energy Inc.,1
Patrick G. Duffy,Scotia Capital Energy Inc,1
Powerex Corp.,Powerex Corp,2
Pro Information Pro Environment United People Network,Trans Mountain Pipeline ULC,1
Rob Power,Alliance Pipeline Ltd,1
Robyn Allan,Trans Mountain Pipeline ULC,2
SaskEnergy International,The Queen in Right of the Province of New Brunswick,1
Saskatchewan Power Corporation,Canada Energy Regulator,1
SemCAMS,SemCAMS Redwillow ULC,1
SemCAMS ULC,SemCAMS Redwillow ULC,1
Sempra Energy Trading Corp.,TransCanada PipeLines Limited,1
Sequent Energy Canada Corp.,Canada Energy Regulator,1
Sonya Makaroff,Trans Mountain Pipeline ULC,1
Squamish Nation,Canada Inc.,1
"Tracel Energy Marketing Inc., on behalf of Tracel Energy Marketing Limited Partnership 1","Tracel Energy Marketing Inc., on behalf of Tracel Energy Marketing Limited Partnership",1
Trans Mountain Pipeline ULC,Canada Energy Regulator,3
Trans Mountain Pipeline ULC,Canada Inc.,1
Trans-Northern Pipelines Inc.,Trans-Northern Pipelines Inc,1
TransCanada,TransCanada Keystone Pipeline GP Ltd.,1
TransCanada Keystone Pipelines GP Ltd.,TransCanada Keystone Pipeline GP Ltd.,1
Transition Initiative Kenora,Canada Ltd,1
Tsleil-Waututh Nation,Trans Mountain Pipeline ULC,1
Union Gas Limited,TransCanada PipeLines Limited,2
"Westcoast Energy Inc., carrying on business as Duke Energy Gas Transmission",Westcoast Energy Inc.,1
"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Westcoast Energy Inc.,1
"Westcoast Energy Inc., doing business as Spectra Energy Transmission",Westcoast Energy Inc.,1
Williams Energy (Canada) Inc,"Williams Energy (Canada), Inc.",1
Équiterre,Energy East Pipeline Ltd.,1
